DateTime,open,high,low,close,volume
2024-01-02T00:00:00+05:30, 4045.05, 4049, 3966.7, 4041.6, 210466
2024-01-03T00:00:00+05:30, 4055, 4110, 4054.15, 4085.15, 347303
2024-01-04T00:00:00+05:30, 4102, 4127.1, 4076.55, 4088.65, 221232
2024-01-05T00:00:00+05:30, 4099.15, 4114.55, 4057, 4077.2, 140037
2024-01-08T00:00:00+05:30, 4094, 4096.1, 4002.05, 4015.5, 168440
2024-01-09T00:00:00+05:30, 4030.85, 4218, 4030, 4193.4, 653704
2024-01-10T00:00:00+05:30, 4190.95, 4229.25, 4147.9, 4180.75, 267109
2024-01-11T00:00:00+05:30, 4188, 4197.9, 4131, 4159.8, 130818
2024-01-12T00:00:00+05:30, 4171.65, 4188.8, 4112.6, 4154.1, 160204
2024-01-15T00:00:00+05:30, 4163.1, 4179.5, 4117.2, 4163.55, 153484
2024-01-16T00:00:00+05:30, 4176.3, 4200, 4086.9, 4103.45, 188669
2024-01-17T00:00:00+05:30, 4092, 4132.85, 4028.25, 4106.8, 177690
2024-01-18T00:00:00+05:30, 4100, 4105.75, 3965, 4041.8, 187562
2024-01-19T00:00:00+05:30, 4081, 4151, 4062.9, 4141.5, 111523
2024-01-20T00:00:00+05:30, 4165, 4165, 4051.05, 4074.3, 50912
2024-01-23T00:00:00+05:30, 4090, 4133.6, 4020, 4083.9, 479654
2024-01-24T00:00:00+05:30, 4080, 4212, 4056, 4199, 219206
2024-01-25T00:00:00+05:30, 4213.95, 4221.1, 4140, 4205.4, 163965
2024-01-29T00:00:00+05:30, 4204, 4318.95, 4196.35, 4305.55, 460409
2024-01-30T00:00:00+05:30, 4319, 4335, 4104.2, 4143.55, 488753
2024-01-31T00:00:00+05:30, 4115, 4212.85, 4086.35, 4140.4, 489648
2024-02-02T00:00:00+05:30, 4125, 4289.95, 4112.1, 4162.3, 541066
2024-02-05T00:00:00+05:30, 4175, 4250, 4123.95, 4152, 307429
2024-02-06T00:00:00+05:30, 4169.8, 4250, 4135.05, 4216.75, 157896
2024-02-07T00:00:00+05:30, 4289.95, 4289.95, 4162.05, 4249.2, 228370
2024-02-08T00:00:00+05:30, 4268, 4335, 4215, 4226.55, 234880
2024-02-09T00:00:00+05:30, 4230.7, 4301.2, 4155.9, 4275.8, 231257
2024-02-12T00:00:00+05:30, 4275.8, 4359.3, 4204, 4218.35, 310740
2024-02-13T00:00:00+05:30, 4218, 4499.8, 4118, 4313.2, 741449
2024-02-14T00:00:00+05:30, 4279.45, 4448, 4279.4, 4379.4, 524202
2024-02-15T00:00:00+05:30, 4400, 4405.95, 4322.95, 4346.75, 101879
2024-02-16T00:00:00+05:30, 4365.15, 4417.55, 4337, 4398.65, 141679
2024-02-19T00:00:00+05:30, 4400.95, 4449, 4375, 4416.6, 108346
2024-02-20T00:00:00+05:30, 4435, 4455, 4407.55, 4435.75, 130657
2024-02-21T00:00:00+05:30, 4445, 4538.85, 4416.05, 4440.35, 218181
2024-02-22T00:00:00+05:30, 4450, 4587, 4418, 4552.5, 236905
2024-02-23T00:00:00+05:30, 4577, 4592.25, 4518.6, 4536.5, 155098
2024-02-26T00:00:00+05:30, 4550, 4595, 4495, 4565.75, 178913
2024-02-27T00:00:00+05:30, 4565.65, 4646.5, 4563, 4585.3, 228401
2024-02-28T00:00:00+05:30, 4613.95, 4658.65, 4538.3, 4576.8, 175775
2024-02-29T00:00:00+05:30, 4581.3, 4720, 4509.05, 4679.25, 352636
2024-03-02T00:00:00+05:30, 4724.95, 4754.6, 4695.05, 4736.9, 19424
2024-03-04T00:00:00+05:30, 4730.05, 4738.05, 4672.2, 4689.2, 123044
2024-03-05T00:00:00+05:30, 4718.4, 4759.65, 4687.15, 4730.15, 96230
2024-03-06T00:00:00+05:30, 4745, 4745, 4630.1, 4708.55, 172883
2024-03-07T00:00:00+05:30, 4730, 4743, 4655.75, 4668.65, 143365
2024-03-11T00:00:00+05:30, 4670, 4972.4, 4670, 4730.85, 1126433
2024-03-12T00:00:00+05:30, 4745, 4834.95, 4700, 4782.45, 409382
2024-03-13T00:00:00+05:30, 4784.85, 4844, 4613.8, 4650.1, 379017
2024-03-14T00:00:00+05:30, 4650.95, 4788.2, 4579.75, 4751.4, 242114
2024-03-15T00:00:00+05:30, 4768, 4820.6, 4682.1, 4771.3, 229260
2024-03-18T00:00:00+05:30, 4774.95, 4855, 4745.9, 4834.4, 171827
2024-03-19T00:00:00+05:30, 4840, 4849.55, 4602.65, 4639.85, 371866
2024-03-20T00:00:00+05:30, 4668.7, 4758.45, 4562.35, 4709.55, 179052
2024-03-21T00:00:00+05:30, 4750, 4954, 4741.55, 4942.35, 461620
2024-03-22T00:00:00+05:30, 4935.05, 4997.2, 4864.65, 4991.55, 281438
2024-03-26T00:00:00+05:30, 4991.55, 5111.2, 4970, 5098.65, 427343
2024-03-27T00:00:00+05:30, 5130, 5360, 5117.45, 5288.65, 791415
2024-03-28T00:00:00+05:30, 5288.65, 5405, 5236.5, 5374.05, 398389
2024-04-02T00:00:00+05:30, 5474.95, 5599, 5454.4, 5576.85, 263847
2024-04-03T00:00:00+05:30, 5511, 5672.4, 5511, 5645.3, 341448
2024-04-04T00:00:00+05:30, 5646.05, 5770, 5605, 5627.05, 366086
2024-04-05T00:00:00+05:30, 5642.8, 5692.45, 5538.25, 5634.25, 242522
2024-04-08T00:00:00+05:30, 5678, 5737.45, 5636, 5668, 234095
2024-04-09T00:00:00+05:30, 5705, 5715.8, 5583.8, 5605.25, 146476
2024-04-10T00:00:00+05:30, 5632.95, 5632.95, 5550.05, 5582.8, 182191
2024-04-12T00:00:00+05:30, 5582.8, 5690.1, 5550, 5577.45, 201142
2024-04-15T00:00:00+05:30, 5516.2, 5620, 5419.95, 5440.85, 217877
2024-04-16T00:00:00+05:30, 5435, 5565.75, 5415.25, 5531.85, 267334
2024-04-18T00:00:00+05:30, 5534, 5644, 5499.55, 5579.55, 502164
2024-04-19T00:00:00+05:30, 5574.55, 5645.75, 5480.8, 5589.5, 478594
2024-04-22T00:00:00+05:30, 5601.95, 5835, 5599, 5768.4, 493485
2024-04-23T00:00:00+05:30, 5800, 5812.9, 5684.95, 5695.7, 182762
2024-04-24T00:00:00+05:30, 5729, 5754.05, 5656.85, 5668.95, 266182
2024-04-25T00:00:00+05:30, 5670, 5766, 5633, 5729.55, 208223
2024-04-26T00:00:00+05:30, 5749.95, 5808.2, 5697.85, 5748.5, 153742
2024-04-29T00:00:00+05:30, 5754.2, 5828.7, 5734.45, 5776.65, 147999
2024-04-30T00:00:00+05:30, 5818.8, 5922.9, 5790.1, 5841.7, 375146
2024-05-02T00:00:00+05:30, 5841.7, 5975.45, 5840, 5871.5, 250487
2024-05-03T00:00:00+05:30, 5909.95, 5948, 5866.35, 5928.05, 135910
2024-05-06T00:00:00+05:30, 5960, 6196, 5958.95, 6107.65, 770340
2024-05-07T00:00:00+05:30, 6144, 6247.7, 6032, 6094.6, 420762
2024-05-08T00:00:00+05:30, 6119.2, 6337, 6022.3, 6305, 543836
2024-05-09T00:00:00+05:30, 6319, 6335, 6114.85, 6130.2, 375195
2024-05-10T00:00:00+05:30, 6165.15, 6208.3, 6068.55, 6168.15, 429166
2024-05-13T00:00:00+05:30, 6232.6, 6666, 6218.55, 6620.1, 1341277
2024-05-14T00:00:00+05:30, 6660.6, 6701.75, 6482.5, 6660.45, 672150
2024-05-15T00:00:00+05:30, 7020, 7240, 6926, 7119.3, 2793249
2024-05-16T00:00:00+05:30, 7119.3, 7249.05, 6994, 7043.85, 1224864
2024-05-17T00:00:00+05:30, 7070, 7230, 7044.1, 7185.35, 676632
2024-05-18T00:00:00+05:30, 7225.6, 7225.6, 7188.05, 7202.15, 25998
2024-05-21T00:00:00+05:30, 7228.7, 7347, 7197.2, 7284.25, 667939
2024-05-22T00:00:00+05:30, 7334, 7334, 7134.1, 7159.3, 466120
2024-05-23T00:00:00+05:30, 7190, 7387.2, 7166.15, 7371.65, 358594
2024-05-24T00:00:00+05:30, 7345, 7345, 7240, 7283.3, 187782
2024-05-27T00:00:00+05:30, 7283.35, 7321.95, 7168.9, 7215.15, 397759
2024-05-28T00:00:00+05:30, 7234.5, 7275, 7092, 7137.3, 303297
2024-05-29T00:00:00+05:30, 7099.9, 7154.55, 7000, 7016.8, 466474
2024-05-30T00:00:00+05:30, 7004, 7050, 6939.4, 6984.65, 278761
2024-05-31T00:00:00+05:30, 7043, 7062.1, 6922.05, 6967.95, 925311
2024-06-03T00:00:00+05:30, 7250, 7344.9, 7138.1, 7274, 664800
2024-06-04T00:00:00+05:30, 7320, 7320, 5819.2, 6372.15, 1238880
2024-06-05T00:00:00+05:30, 6619.95, 6620, 6137.15, 6528.2, 735481
2024-06-06T00:00:00+05:30, 6599.95, 6838.4, 6595.05, 6793.95, 420303
2024-06-07T00:00:00+05:30, 6800.05, 6895.95, 6706, 6875.1, 263145
2024-06-10T00:00:00+05:30, 6889.95, 6954.55, 6825, 6856.55, 258661
2024-06-11T00:00:00+05:30, 6920.1, 7034.3, 6881.2, 6901.05, 414459
2024-06-12T00:00:00+05:30, 6918.95, 7133.95, 6917.9, 7065.3, 514055
2024-06-13T00:00:00+05:30, 7130, 7468, 7092.3, 7396.6, 869619
2024-06-14T00:00:00+05:30, 7433.5, 7913.05, 7415.9, 7790.2, 1315733
2024-06-18T00:00:00+05:30, 7824.95, 7841, 7661.05, 7727.85, 331393
2024-06-19T00:00:00+05:30, 7766, 7810, 7515, 7538, 347807
2024-06-20T00:00:00+05:30, 7540, 7551.8, 7430.05, 7524.9, 312158
2024-06-21T00:00:00+05:30, 7558.6, 7600, 7400.75, 7436.3, 250912
2024-06-24T00:00:00+05:30, 7424.1, 7642.45, 7351.7, 7593.95, 305989
2024-06-25T00:00:00+05:30, 7624.6, 7749, 7537.55, 7560, 493607
2024-06-26T00:00:00+05:30, 7577, 7665, 7505.1, 7597.1, 219210
2024-06-27T00:00:00+05:30, 7585.05, 7934.3, 7540.1, 7832.2, 1240312
2024-06-28T00:00:00+05:30, 7852.6, 7852.6, 7630.05, 7704.5, 451478
2024-07-02T00:00:00+05:30, 7871, 7900, 7651.1, 7772.25, 305855
2024-07-03T00:00:00+05:30, 7793, 7913.95, 7755, 7803.05, 279092
2024-07-04T00:00:00+05:30, 7803.05, 7948.9, 7743.45, 7866.9, 282942
2024-07-05T00:00:00+05:30, 7868, 7968.7, 7815, 7885.55, 310441
2024-07-08T00:00:00+05:30, 7934.25, 7934.8, 7685.05, 7741.35, 234500
2024-07-09T00:00:00+05:30, 7760, 7824, 7725.1, 7763.9, 182294
2024-07-10T00:00:00+05:30, 7800, 7863.9, 7600, 7846.65, 328691
2024-07-11T00:00:00+05:30, 7933.85, 7933.85, 7761.7, 7776, 212661
2024-07-12T00:00:00+05:30, 7808, 7825, 7600.85, 7613.55, 426289
2024-07-15T00:00:00+05:30, 7613.55, 7669.25, 7552.2, 7639.8, 249507
2024-07-16T00:00:00+05:30, 7660, 7687.9, 7444, 7468.6, 341560
2024-07-18T00:00:00+05:30, 7468.6, 7478.55, 7055.05, 7121.2, 867081
2024-07-19T00:00:00+05:30, 7125.75, 7150, 6825, 6850.2, 679882
2024-07-22T00:00:00+05:30, 6690.05, 7038, 6690.05, 7023.15, 373486
2024-07-23T00:00:00+05:30, 7039.9, 7104.75, 6635, 6788.7, 643754
2024-07-24T00:00:00+05:30, 6819.55, 6962, 6710, 6771.1, 446956
2024-07-25T00:00:00+05:30, 6737, 6950, 6671.15, 6836.95, 342733
2024-07-26T00:00:00+05:30, 6880.6, 6977.15, 6840.05, 6917.3, 352540
2024-07-29T00:00:00+05:30, 6967.5, 7110.6, 6947.3, 7096.35, 373915
2024-07-30T00:00:00+05:30, 7100, 7157.9, 6987.55, 7021.15, 394712
2024-07-31T00:00:00+05:30, 7074.95, 7180, 6920, 7132.9, 465539
2024-08-02T00:00:00+05:30, 6900, 6982.95, 6800.05, 6876.5, 443854
2024-08-05T00:00:00+05:30, 6677.4, 6810, 6604.15, 6694.7, 499695
2024-08-06T00:00:00+05:30, 6694.7, 6834.6, 6565.7, 6591.9, 244925
2024-08-07T00:00:00+05:30, 6698, 6870, 6567, 6825.75, 368743
2024-08-08T00:00:00+05:30, 6760, 6848.95, 6658.3, 6769, 475189
2024-08-09T00:00:00+05:30, 6850, 6915.25, 6771.05, 6889.5, 725795
2024-08-12T00:00:00+05:30, 6800, 7050, 6765, 6920.95, 1024424
2024-08-13T00:00:00+05:30, 6907.1, 7044, 6850.05, 6969.1, 523595
2024-08-14T00:00:00+05:30, 6971.65, 7062.6, 6837.5, 7040.05, 337035
2024-08-16T00:00:00+05:30, 7090, 7256.75, 7062.85, 7188.7, 400177
2024-08-19T00:00:00+05:30, 7244, 7244, 7087.15, 7102.25, 235437
2024-08-20T00:00:00+05:30, 7152, 7152, 7004.4, 7084.05, 176099
2024-08-21T00:00:00+05:30, 7084.05, 7129.2, 7032.1, 7083.05, 148003
2024-08-22T00:00:00+05:30, 7124.6, 7124.6, 7030.05, 7056.05, 162137
2024-08-23T00:00:00+05:30, 7056.05, 7107.95, 7010, 7022.15, 126847
2024-08-26T00:00:00+05:30, 7065.6, 7065.6, 6993.3, 7043.05, 149876
2024-08-27T00:00:00+05:30, 7080, 7098.6, 7000, 7008.85, 180413
2024-08-28T00:00:00+05:30, 7017.5, 7035, 6940.25, 6951.45, 201864
